title,link,description,pub_date,source
"Kansas City Chiefs superfan who became a fugitive after bank robbery charge has been caught in California, feds say - CNN",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wNy8xMS91cy9rYW5zYXMtY2l0eS1jaGllZi1zdXBlcmZhbi1jaGFyZ2VkLWJhbmstcm9iYmVyeS9pbmRleC5odG1s0gFgaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wNy8xMS91cy9rYW5zYXMtY2l0eS1jaGllZi1zdXBlcmZhbi1jaGFyZ2VkLWJhbmstcm9iYmVyeS9pbmRleC5odG1s?oc=5," href=""https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wNy8xMS91cy9rYW5zYXMtY2l0eS1jaGllZi1zdXBlcmZhbi1jaGFyZ2VkLWJhbmstcm9iYmVyeS9pbmRleC5odG1s0gFgaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wNy8xMS91cy9rYW5zYXMtY2l0eS1jaGllZi1zdXBlcmZhbi1jaGFyZ2VkLWJhbmstcm9iYmVyeS9pbmRleC5odG1s?oc=5"" target=""_blank"">Kansas City Chiefs superfan who became a fugitive after bank robbery charge has been caught in California, feds say</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font",2023-07-11 07:00:00+00:00,CNN
Kansas City Chiefs superfan 'ChiefsAholic' arrested on bank robbery ... - USA TODAY,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3Rvcnkvc3BvcnRzL25mbC9jaGllZnMvMjAyMy8wNy8xMC9jaGllZnMtc3VwZXJmYW4tY2hpZWZzYWhvbGljLWFycmVzdGVkLWJhbmstcm9iYmVyeS1jaGFyZ2UtZmxlZWluZy83MDM5OTU4NzAwNy_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3Rvcnkvc3BvcnRzL25mbC9jaGllZnMvMjAyMy8wNy8xMC9jaGllZnMtc3VwZXJmYW4tY2hpZWZzYWhvbGljLWFycmVzdGVkLWJhbmstcm9iYmVyeS1jaGFyZ2UtZmxlZWluZy83MDM5OTU4NzAwNy_SAQA?oc=5"" target=""_blank"">Kansas City Chiefs superfan 'ChiefsAholic' arrested on bank robbery ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA TODAY</font",2023-07-10 07:00:00+00:00,USA TODAY
K.C. Chiefs superfan went on bank robbery spree in many states ... - Star Tribune,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnN0YXJ0cmlidW5lLmNvbS9rYy1jaGllZnMtc3VwZXJmYW4tYmFuay1yb2JiZXJ5LXNwcmVlLW1pbm5lc290YS1jaGFyZ2VzLWFsbGVnZS1uZmwtY2hpZWZzYWhvbGljLWJhYnVkYXIvNjAwMjg5NDI4L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnN0YXJ0cmlidW5lLmNvbS9rYy1jaGllZnMtc3VwZXJmYW4tYmFuay1yb2JiZXJ5LXNwcmVlLW1pbm5lc290YS1jaGFyZ2VzLWFsbGVnZS1uZmwtY2hpZWZzYWhvbGljLWJhYnVkYXIvNjAwMjg5NDI4L9IBAA?oc=5"" target=""_blank"">K.C. Chiefs superfan went on bank robbery spree in many states ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Star Tribune</font",2023-07-13 14:42:56+00:00,Star Tribune
Atlanta Nail First salon robbery ends with customers ignoring suspect - USA TODAY,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL25hdGlvbi8yMDIzLzA3LzA3L2F0bGFudGEtcm9iYmVyeS1uYWlsLXNhbG9uLXZpZGVvLWNhbG0tY3VzdG9tZXJzLzcwMzkzMTY1MDA3L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL25hdGlvbi8yMDIzLzA3LzA3L2F0bGFudGEtcm9iYmVyeS1uYWlsLXNhbG9uLXZpZGVvLWNhbG0tY3VzdG9tZXJzLzcwMzkzMTY1MDA3L9IBAA?oc=5"" target=""_blank"">Atlanta Nail First salon robbery ends with customers ignoring suspect</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA TODAY</font",2023-07-07 07:00:00+00:00,USA TODAY
Nail salon robbery goes awry as customers completely ignore demands - CNN,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL3VzLzIwMjMvMDcvMDcvYXRsYW50YS1hdHRlbXB0ZWQtcm9iYmVyeS1mYWlsLWNwcm9nLW9yaWctamMuY25u0gFdaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vdmlkZW9zL3VzLzIwMjMvMDcvMDcvYXRsYW50YS1hdHRlbXB0ZWQtcm9iYmVyeS1mYWlsLWNwcm9nLW9yaWctamMuY25u?oc=5," href=""https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL3VzLzIwMjMvMDcvMDcvYXRsYW50YS1hdHRlbXB0ZWQtcm9iYmVyeS1mYWlsLWNwcm9nLW9yaWctamMuY25u0gFdaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vdmlkZW9zL3VzLzIwMjMvMDcvMDcvYXRsYW50YS1hdHRlbXB0ZWQtcm9iYmVyeS1mYWlsLWNwcm9nLW9yaWctamMuY25u?oc=5"" target=""_blank"">Nail salon robbery goes awry as customers completely ignore demands</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font",2023-07-07 07:00:00+00:00,CNN
"Failed Robbery: Atlanta nail salon employees ignore demands, sends robber fleeing - CBS News",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmNic25ld3MuY29tL21pYW1pL25ld3MvbWFuLWF0dGVtcHRzLXRvLXJvYi1uYWlsLXNhbG9uLWVtcGxveWVlcy1jdXN0b21lcnMv0gFaaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL21pYW1pL25ld3MvbWFuLWF0dGVtcHRzLXRvLXJvYi1uYWlsLXNhbG9uLWVtcGxveWVlcy1jdXN0b21lcnMv?oc=5," href=""https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmNic25ld3MuY29tL21pYW1pL25ld3MvbWFuLWF0dGVtcHRzLXRvLXJvYi1uYWlsLXNhbG9uLWVtcGxveWVlcy1jdXN0b21lcnMv0gFaaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL21pYW1pL25ld3MvbWFuLWF0dGVtcHRzLXRvLXJvYi1uYWlsLXNhbG9uLWVtcGxveWVlcy1jdXN0b21lcnMv?oc=5"" target=""_blank"">Failed Robbery: Atlanta nail salon employees ignore demands, sends robber fleeing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS News</font",2023-07-08 12:06:00+00:00,CBS News
2 Central Ohio men arrested in robbery incident that resulted in ... - Department of Justice,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lmp1c3RpY2UuZ292L3VzYW8tc2RvaC9wci8yLWNlbnRyYWwtb2hpby1tZW4tYXJyZXN0ZWQtcm9iYmVyeS1pbmNpZGVudC1yZXN1bHRlZC1zaG9vdGluZy1jb2x1bWJ1cy1wb2xpY2Utb2ZmaWNlctIBAA?oc=5," href=""https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lmp1c3RpY2UuZ292L3VzYW8tc2RvaC9wci8yLWNlbnRyYWwtb2hpby1tZW4tYXJyZXN0ZWQtcm9iYmVyeS1pbmNpZGVudC1yZXN1bHRlZC1zaG9vdGluZy1jb2x1bWJ1cy1wb2xpY2Utb2ZmaWNlctIBAA?oc=5"" target=""_blank"">2 Central Ohio men arrested in robbery incident that resulted in ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Department of Justice</font",2023-07-08 07:00:00+00:00,Department of Justice
"Serial bank robbery suspect arrested near US-59 and Buffalo Speedway in southwest Houston after brief chase, police say - KTRK-TV",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vYWJjMTMuY29tL2Jhbmstb2YtYW1lcmljYS1yb2JiZXJ5LW9uLWxvbmctcG9pbnQtcm9iYmVkLXN1c3BlY3QtZm91bmQtY3Jhc2hlcy11cy01OS8xMzUwMjY4My_SAWhodHRwczovL2FiYzEzLmNvbS9hbXAvYmFuay1vZi1hbWVyaWNhLXJvYmJlcnktb24tbG9uZy1wb2ludC1yb2JiZWQtc3VzcGVjdC1mb3VuZC1jcmFzaGVzLXVzLTU5LzEzNTAyNjgzLw?oc=5," href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vYWJjMTMuY29tL2Jhbmstb2YtYW1lcmljYS1yb2JiZXJ5LW9uLWxvbmctcG9pbnQtcm9iYmVkLXN1c3BlY3QtZm91bmQtY3Jhc2hlcy11cy01OS8xMzUwMjY4My_SAWhodHRwczovL2FiYzEzLmNvbS9hbXAvYmFuay1vZi1hbWVyaWNhLXJvYmJlcnktb24tbG9uZy1wb2ludC1yb2JiZWQtc3VzcGVjdC1mb3VuZC1jcmFzaGVzLXVzLTU5LzEzNTAyNjgzLw?oc=5"" target=""_blank"">Serial bank robbery suspect arrested near US-59 and Buffalo Speedway in southwest Houston after brief chase, police say</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KTRK-TV</font",2023-07-14 18:33:45+00:00,KTRK-TV
Attempted ATM robbery turns deadly when victim fatally shoots 2 would-be attackers - KIRO Seattle,https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5raXJvNy5jb20vbmV3cy90cmVuZGluZy9hdHRlbXB0ZWQtYXRtLXJvYmJlcnktdHVybnMtZGVhZGx5LXdoZW4tdmljdGltLWZhdGFsbHktc2hvb3RzLTItd291bGQtYmUtYXR0YWNrZXJzLzU2U1VMS0ZFTFpIU1pNUkRYVkdNR1daWFdRL9IBoQFodHRwczovL3d3dy5raXJvNy5jb20vbmV3cy90cmVuZGluZy9hdHRlbXB0ZWQtYXRtLXJvYmJlcnktdHVybnMtZGVhZGx5LXdoZW4tdmljdGltLWZhdGFsbHktc2hvb3RzLTItd291bGQtYmUtYXR0YWNrZXJzLzU2U1VMS0ZFTFpIU1pNUkRYVkdNR1daWFdRLz9vdXRwdXRUeXBlPWFtcA?oc=5," href=""https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5raXJvNy5jb20vbmV3cy90cmVuZGluZy9hdHRlbXB0ZWQtYXRtLXJvYmJlcnktdHVybnMtZGVhZGx5LXdoZW4tdmljdGltLWZhdGFsbHktc2hvb3RzLTItd291bGQtYmUtYXR0YWNrZXJzLzU2U1VMS0ZFTFpIU1pNUkRYVkdNR1daWFdRL9IBoQFodHRwczovL3d3dy5raXJvNy5jb20vbmV3cy90cmVuZGluZy9hdHRlbXB0ZWQtYXRtLXJvYmJlcnktdHVybnMtZGVhZGx5LXdoZW4tdmljdGltLWZhdGFsbHktc2hvb3RzLTItd291bGQtYmUtYXR0YWNrZXJzLzU2U1VMS0ZFTFpIU1pNUkRYVkdNR1daWFdRLz9vdXRwdXRUeXBlPWFtcA?oc=5"" target=""_blank"">Attempted ATM robbery turns deadly when victim fatally shoots 2 would-be attackers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KIRO Seattle</font",2023-07-08 07:00:00+00:00,KIRO Seattle
Blueface Arrested in Las Vegas for Robbery - Billboard,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvcmItaGlwLWhvcC9ibHVlZmFjZS1hcnJlc3RlZC1sYXMtdmVnYXMtcm9iYmVyeS0xMjM1MzQ4NjY0L9IBXmh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvcmItaGlwLWhvcC9ibHVlZmFjZS1hcnJlc3RlZC1sYXMtdmVnYXMtcm9iYmVyeS0xMjM1MzQ4NjY0L2FtcC8?oc=5," href=""https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvcmItaGlwLWhvcC9ibHVlZmFjZS1hcnJlc3RlZC1sYXMtdmVnYXMtcm9iYmVyeS0xMjM1MzQ4NjY0L9IBXmh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvcmItaGlwLWhvcC9ibHVlZmFjZS1hcnJlc3RlZC1sYXMtdmVnYXMtcm9iYmVyeS0xMjM1MzQ4NjY0L2FtcC8?oc=5"" target=""_blank"">Blueface Arrested in Las Vegas for Robbery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Billboard</font",2023-06-07 07:00:00+00:00,Billboard
