title,link,description,pub_date,source
Ongoing rounds of rain to keep flash flood risk elevated in northeastern US - AccuWeather,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5hY2N1d2VhdGhlci5jb20vZW4vc2V2ZXJlLXdlYXRoZXIvb25nb2luZy1yb3VuZHMtb2YtcmFpbi10by1rZWVwLWZsYXNoLWZsb29kLXJpc2stZWxldmF0ZWQtaW4tbm9ydGhlYXN0ZXJuLXVzLzE1NTk4NDfSAYUBaHR0cHM6Ly93d3cuYWNjdXdlYXRoZXIuY29tL2VuL3NldmVyZS13ZWF0aGVyL29uZ29pbmctcm91bmRzLW9mLXJhaW4tdG8ta2VlcC1mbGFzaC1mbG9vZC1yaXNrLWVsZXZhdGVkLWluLW5vcnRoZWFzdGVybi11cy8xNTU5ODQ3L2FtcA?oc=5," href=""https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5hY2N1d2VhdGhlci5jb20vZW4vc2V2ZXJlLXdlYXRoZXIvb25nb2luZy1yb3VuZHMtb2YtcmFpbi10by1rZWVwLWZsYXNoLWZsb29kLXJpc2stZWxldmF0ZWQtaW4tbm9ydGhlYXN0ZXJuLXVzLzE1NTk4NDfSAYUBaHR0cHM6Ly93d3cuYWNjdXdlYXRoZXIuY29tL2VuL3NldmVyZS13ZWF0aGVyL29uZ29pbmctcm91bmRzLW9mLXJhaW4tdG8ta2VlcC1mbGFzaC1mbG9vZC1yaXNrLWVsZXZhdGVkLWluLW5vcnRoZWFzdGVybi11cy8xNTU5ODQ3L2FtcA?oc=5"" target=""_blank"">Ongoing rounds of rain to keep flash flood risk elevated in northeastern US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AccuWeather</font",2023-07-17 16:31:47+00:00,AccuWeather
More heavy rain expected in northeastern Japan's Sea of Japan coastal areas | NHK WORLD-JAPAN News - NHK WORLD,https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxOF8wOS_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxOF8wOS_SAQA?oc=5"" target=""_blank"">More heavy rain expected in northeastern Japan's Sea of Japan coastal areas | NHK WORLD-JAPAN News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NHK WORLD</font",2023-07-17 16:37:12+00:00,NHK WORLD
Russia violates Geneva Convention by shelling fire station in northeastern Ukraine - Euromaidan Press,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vZXVyb21haWRhbnByZXNzLmNvbS8yMDIzLzA3LzE3L3J1c3NpYS12aW9sYXRlcy1nZW5ldmEtY29udmVudGlvbi1ieS1zaGVsbGluZy1maXJlLXN0YXRpb24taW4tbm9ydGhlYXN0ZXJuLXVrcmFpbmUv0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMiemh0dHBzOi8vZXVyb21haWRhbnByZXNzLmNvbS8yMDIzLzA3LzE3L3J1c3NpYS12aW9sYXRlcy1nZW5ldmEtY29udmVudGlvbi1ieS1zaGVsbGluZy1maXJlLXN0YXRpb24taW4tbm9ydGhlYXN0ZXJuLXVrcmFpbmUv0gEA?oc=5"" target=""_blank"">Russia violates Geneva Convention by shelling fire station in northeastern Ukraine</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Euromaidan Press</font",2023-07-17 16:36:14+00:00,Euromaidan Press
"Northeastern Japan suffers from heavy rain, flooding | NHK WORLD-JAPAN News - NHK WORLD",https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNl8xNi_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNl8xNi_SAQA?oc=5"" target=""_blank"">Northeastern Japan suffers from heavy rain, flooding | NHK WORLD-JAPAN News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NHK WORLD</font",2023-07-15 19:46:53+00:00,NHK WORLD
Matthew 25: Ministries responds to severe flooding in Northeastern U.S. - FOX19,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmZveDE5LmNvbS8yMDIzLzA3LzE1L21hdHRoZXctMjUtbWluaXN0cmllcy1yZXNwb25kcy1zZXZlcmUtZmxvb2Rpbmctbm9ydGhlYXN0ZXJuLXVzL9IBb2h0dHBzOi8vd3d3LmZveDE5LmNvbS8yMDIzLzA3LzE1L21hdHRoZXctMjUtbWluaXN0cmllcy1yZXNwb25kcy1zZXZlcmUtZmxvb2Rpbmctbm9ydGhlYXN0ZXJuLXVzLz9vdXRwdXRUeXBlPWFtcA?oc=5," href=""https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmZveDE5LmNvbS8yMDIzLzA3LzE1L21hdHRoZXctMjUtbWluaXN0cmllcy1yZXNwb25kcy1zZXZlcmUtZmxvb2Rpbmctbm9ydGhlYXN0ZXJuLXVzL9IBb2h0dHBzOi8vd3d3LmZveDE5LmNvbS8yMDIzLzA3LzE1L21hdHRoZXctMjUtbWluaXN0cmllcy1yZXNwb25kcy1zZXZlcmUtZmxvb2Rpbmctbm9ydGhlYXN0ZXJuLXVzLz9vdXRwdXRUeXBlPWFtcA?oc=5"" target=""_blank"">Matthew 25: Ministries responds to severe flooding in Northeastern U.S.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FOX19</font",2023-07-15 14:35:00+00:00,FOX19
Record rain causing havoc in northeastern Japan | NHK WORLD-JAPAN News - NHK WORLD,https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNl8wOC_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNl8wOC_SAQA?oc=5"" target=""_blank"">Record rain causing havoc in northeastern Japan | NHK WORLD-JAPAN News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NHK WORLD</font",2023-07-16 08:30:48+00:00,NHK WORLD
Record rainfall hits Akita Prefecture in northeastern Japan | NHK WORLD-JAPAN News - NHK WORLD,https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNV8wOS_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNV8wOS_SAQA?oc=5"" target=""_blank"">Record rainfall hits Akita Prefecture in northeastern Japan | NHK WORLD-JAPAN News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NHK WORLD</font",2023-07-15 04:53:50+00:00,NHK WORLD
"Northeastern Japan hit by heavy rain, more forecast | NHK WORLD-JAPAN News - NHK WORLD",https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNl8wNi_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNl8wNi_SAQA?oc=5"" target=""_blank"">Northeastern Japan hit by heavy rain, more forecast | NHK WORLD-JAPAN News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NHK WORLD</font",2023-07-15 07:46:00+00:00,NHK WORLD
Northeastern Japan pounded by heavy rain | NHK WORLD-JAPAN News - NHK WORLD,https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNV8xMy_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3My5uaGsub3IuanAvbmhrd29ybGQvZW4vbmV3cy8yMDIzMDcxNV8xMy_SAQA?oc=5"" target=""_blank"">Northeastern Japan pounded by heavy rain | NHK WORLD-JAPAN News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NHK WORLD</font",2023-07-15 08:55:14+00:00,NHK WORLD
Ethnic Violence Spirals in India's Northeastern Manipur State - Human Rights Watch,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDIzLzA2LzMwL2V0aG5pYy12aW9sZW5jZS1zcGlyYWxzLWluZGlhcy1ub3J0aGVhc3Rlcm4tbWFuaXB1ci1zdGF0ZdIBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDIzLzA2LzMwL2V0aG5pYy12aW9sZW5jZS1zcGlyYWxzLWluZGlhcy1ub3J0aGVhc3Rlcm4tbWFuaXB1ci1zdGF0ZdIBAA?oc=5"" target=""_blank"">Ethnic Violence Spirals in India's Northeastern Manipur State</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Human Rights Watch</font",2023-06-30 07:00:00+00:00,Human Rights Watch
